ReferenceNumber,WatchName,Gender,Location,Price,Currency,BrandName,Condition,ScopeOfDelivery,WatchLink,WatchImage,WebsiteName,WatchModel,Year,Movement,PowerReserve,NumberOfJewels,CaseDiameter,CaseMaterial,WaterResistanceAtm,BezelMaterial,Glass,DialColor,BraceletMaterial,BraceletColor,Buckle,BuckleMaterial,Functions,Description,Other
T013.420.44.201.00,Tissot T-touch expert T013.420.44.201.00,M,world,599,USD,Tissot,New,,https://www.jomashop.com/tissot-t-touch-t013-420-44-201-00.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-t-touch-expert-titanium-analog-digital-men_s-watch-t013.420.44.201.00_5.jpg,Jomashop,t.touch.expert,,Quartz,,,43,Brushed Titanium,10,Titanim,Sapphire,Black - Touch Screen,Brushed Titanium,Grey,,,"Perpetual Calendar, Chronograph, Alarm, Month, Date, Day, GMT, Second Time Zone, Hour, Minute, Second, Thermometer, Altitude Indicator, Barometer, Compass","Brushed titanium case with a brushed titanium bracelet. Bidirectional rotating titanim bezel. Black - touch screen dial with luminous hands and index hour markers. Dial Type: Analog-digital. Perpetual calendar. Digital display. ETA caliber E48.351 quartz movement. Scratch resistant tactile sapphire crystal. Solid case back. Case size: 43 mm. Case thickness: 15 mm. Round case shape. Band width: 21 mm. Deployment clasp. Water resistant at 100 meters / 330 feet. Functions: perpetual calendar, chronograph, alarm, month, date, day, GMT, second time zone, hour, minute, second, thermometer, altitude indicator, barometer, compass. Additional Info: touch screen, stop watch, split time. Sport watch style. Watch label: Swiss made. Item Variations: T0134204420100. Tissot T-Touch Expert Titanium Analog/Digital Mens Watch T013.420.44.201.00.","Alarm, Calendar, Chronograph, Compass, GMT, Month, Perpetual, Thermometer, Time Zone, Titanium"
FC-270SW4P6,Frederique Constant Business timer Fc-270sw4p6,M,world,527.04,USD,Frederique Constant,New,,https://www.jomashop.com/frederique-constant-watch-fc-270sw4p6.html,https://cdn2.jomashop.com/media/catalog/product/f/r/frederique-constant-business-timer-mens-watch-fc270sw4p6.jpg,Jomashop,business.timer,,Quartz,,,40,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Silver,Calfskin Leather,Black,,,"Date, Day, Hour, Minute, MoonPhase, Week Indicator","Stainless steel case with a black (calfskin) leather strap. Fixed stainless steel bezel. Silver dial with black hands and alternating Arabic numeral and index hour markers. 52 week scale around the outer rim. Dial Type: Analog. Three sub-dials displaying: date, day of the week and moonphase. Frederique Constant calibre FC-270 quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Case size: 40 mm. Case thickness: 10 mm. Round case shape. Band width: 20 mm. Band length: 8 inches. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: date, day, hour, minute, moonphase, week indicator. Dress watch style. Watch label: Swiss Made. Item Variations: FC 270SW4P6, FC.270SW4P6, FC270SW4P6. Frederique Constant Business Timer Mens Watch FC-270SW4P6.","Calendar, Leather, Moon Phase, Stainless Steel"
WAZ1110.FT8023,Tag Heuer Formula 1 Waz1110.ft8023,M,world,815.04,USD,Tag Heuer,New,,https://www.jomashop.com/tag-heuer-watch-waz1110-ft8023.html,https://cdn2.jomashop.com/media/catalog/product/t/a/tag-heuer-formula-1-black-dial-black-rubber-men_s-watch-waz1110.ft8023.jpg,Jomashop,formula.1,,Quartz,,,41,Stainless Steel,20,,Scratch Resistant Sapphire,Black,Rubber,Black,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a black rubber strap. Uni-directional rotating titanium carbide coated bezel. Black dial with silver-tone hands and index hour markers. Arabic numerals mark the 6 and 12 o'clock positions. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Case size: 41 mm. Case thickness: 13 mm. Round case shape. Band width: 20.3 mm. Band length: 8 inches. Tang clasp. Water resistant at 200 meters / 660 feet. Functions: date, hour, minute, second. Additional Info: in general, suitable for professional marine activity and serious surface water sports, but not scuba diving. Sport watch style. Watch label: Swiss Made. Item Variations: WAZ1110 FT8023, WAZ1110-FT8023, WAZ1110/FT8023, WAZ1110FT8023. Tag Heuer Formula One Black Dial Mens Watch WAZ1110.FT8023.","Calendar, Rubber, Stainless Steel, Titanium"
T100.417.11.051.00,Tissot Prs 516 T100.417.11.051.00,M,world,379.05,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t100-417-11-051-00.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-prs-516-chronograph-black-dial-men_s-watch-t1004171105100_1.jpg,Jomashop,prs.516,,Quartz,,,42,Stainless Steel,10,Ceramic showing Tachymeter Markings,Scratch Resistant Sapphire,Black,Stainless Steel,Silver-tone,,,"Chronograph, Rattrapante, Date, Hour, Minute, Small Second","Stainless steel case with a stainless steel bracelet. Fixed black ceramic bezel showing tachymeter markings. Black dial with luminous hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 1/10th of a second. Caliber ETA G10.212 quartz movement. Scratch resistant sapphire crystal. Case size: 42 mm. Case thickness: 12.2 mm. Round case shape. Butterfly clasp. Water resistant at 100 meters / 330 feet. Functions: chronograph, tachymeter, date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot PRS 516 Chronograph Black Dial Mens Watch T1004171105100.","Calendar, Ceramic, Chronograph, Rattrapante, Stainless Steel"
BN0150-28E,Citizen Promaster diver Bn0150-28e,M,world,156.74,USD,Citizen,New,,https://www.jomashop.com/citizen-watch-bn0150-28e.html,https://cdn2.jomashop.com/media/catalog/product/c/i/citizen-promaster-diver-mens-watch-bn0150-28e.jpg,Jomashop,promaster.diver,,Eco-Drive,,,44,Stainless Steel,20,Stainless Steel,Scratch Resistant Mineral,Black,Polyurethane,Black,,,"Date, Hour, Minute, Second","Silver-tone stainless steel case with a black polyurethane strap. Uni-directional rotating silver and black ion-plated stainless steel bezel. Black dial with luminous silver-tone hands and dot hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Citizen Caliber Eco-Drive E168 eco-drive movement. Scratch resistant mineral crystal. Screw down crown. Solid case back. Round case shape, case size: 44 mm, case thickness: 12 mm. Band width: 20 mm. Tang clasp. Water resistant at 200 meters / 660 feet. Functions: date, hour, minute, second. Sport watch style. Watch label: Japan Movt. Citizen Promaster Diver Black Dial Mens Watch BN0150-28E.","Calendar, Solar, Stainless Steel"
H70455733,Hamilton Khaki H70455733,M,world,358.83,USD,Hamilton,New,,https://www.jomashop.com/hamilton-mens-khaki-king-watch-h70455733.html,https://cdn2.jomashop.com/media/catalog/product/h/a/hamilton-khaki-field-automatic-men_s-watch-h70455733.jpg,Jomashop,khaki,,Automatic,80,,38,Stainless Steel,10,Stainless Steel,Scratch Resistant Sapphire,Black,Leather,Black,,,"Date, Hour, Minute, Second","Stainless steel case with a black leather strap. Fixed stainless steel bezel. Black dial with silver-tone hands and Arabic numeral hour markers. Minute markers around the outer rim. 24 hour (GMT) markers. Dial Type: Analog. Luminescent hands and dial markers. Date display at the 3 o'clock position. Hamilton calibre H-10 automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Skeleton case back. Round case shape. Case size: 38 mm. Case thickness: 11 mm. Band width: 20 mm. Band length: 8.5 inches. Tang clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Item Variations: H70455733. Hamilton Khaki Field Automatic Mens Watch H70455733.","Calendar, GMT, Leather, Stainless Steel"
T109.610.16.031.00,Tissot T-classic everytime T109.610.16.031.00,M,world,132.99,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t1096101603100.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-everytime-silver-dial-leather-men_s-watch-t1096101603100.jpg,Jomashop,t.classic.everytime,,Quartz,,,42,Stainless Steel,3,Stainless Steel,Scratch Resistant Sapphire,Silver,Leather,Black,,,"Hour, Minute, Second","Stainless steel case with a black leather strap. Fixed bezel. Silver dial with silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Case size: 42 mm. Case thickness: 6.45 mm. Round case shape. Water resistant at 30 meters / 100 feet. Functions: hour, minute, second. Luxury watch style. Watch label: Swiss Made. Tissot Everytime Silver Dial Leather Mens Watch T1096101603100.","Leather, Stainless Steel"
8160-ST2-50001,Raymond Weil Tango 8160-st2-50001,M,world,369.99,USD,Raymond Weil,New,,https://www.jomashop.com/raymond-weil-watch-8160-st2-50001.html,https://cdn2.jomashop.com/media/catalog/product/r/a/raymond-weil-tango-blue-dial-men_s-watch-8160-st2-50001.jpg,Jomashop,tango,,Quartz,,,41,Stainless Steel,30,Stainless Steel,Scratch Resistant Sapphire,Blue,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Blue dial with luminous silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Case size: 41 mm. Case thickness: 7.4 mm. Round case shape. Bracelet width: 20 mm. Deployment clasp with a push button release. Water resistant at 300 meters / 1000 feet. Functions: date, hour, minute, second. Dress watch style. Watch label: Swiss Made. Raymond Weil Tango Blue Dial Mens Watch 8160-ST2-50001.",Stainless Steel
T099.407.11.048.00,Tissot Chemin des tourelles T099.407.11.048.00,M,world,547.19,USD,Tissot,New,,https://www.jomashop.com/tissot-watch-t099-407-11-048-00.html,https://cdn2.jomashop.com/media/catalog/product/t/i/tissot-chemin-des-tourelles-automatic-blue-dial-men_s-watch-t099.407.11.048.00.jpg,Jomashop,chemin.des.tourelles,,Automatic,80,,42,Stainless Steel,5,Stainless Steel,Scratch Resistant Sapphire,Blue,Stainless Steel,Silver-tone,,,"Date, Hour, Minute, Second","Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Blue dial with silver-tone hands and index hour markers. Roman numerals mark the 3, 9 and 12 o'clock positions. Minute markers. Dial Type: Analog. Date display at the 6 o'clock position. Powermatic 80.111 automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape. Case size: 42 mm. Case thickness: 10.9 mm. Band width: 21 mm. Butterfly clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Casual watch style. Watch label: Swiss Made. Tissot Chemin Des Tourelles Automatic Blue Dial Mens Watch T099.407.11.048.00.","Calendar, Stainless Steel"
M026.430.44.061.00,Mido Ocean star captain M026.430.44.061.00,M,world,623.04,USD,Mido,New,,https://www.jomashop.com/mido-watch-m026-430-44-061-00.html,https://cdn2.jomashop.com/media/catalog/product/m/i/mido-ocean-star-captain-automatic-men_s-watch-m026.430.44.061.00.jpg,Jomashop,ocean.star.captain,,Automatic,80,,43,Titanium,20,Titanium,Scratch Resistant Sapphire,Grey,Titanium,Grey,,,"Date, Day, Hour, Minute, Second","Titanium case with a titanium bracelet. Uni-directional rotating titanium bezel. Grey dial with luminous silver-tone hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Day of the week and date display at the 3 o'clock position. Mido calibre 80 automatic movement with an 80-hour power reserve. Scratch resistant sapphire crystal. Screw down crown. Solid case back. Case size: 42.5 mm. Case thickness: 11.75 mm. Round case shape. Band width: 20 mm. Fold over clasp. Water resistant at 200 meters / 660 feet. Functions: date, day, hour, minute, second. Casual watch style. Watch label: Swiss Made. Mido Ocean Star Captain Automatic Men's Watch M026.430.44.061.00.","Calendar, Titanium"
